	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1207	Fungi	NA	NA	NA	NA	NA	NA
OTU1208	Fungi	NA	NA	NA	NA	NA	NA
OTU1209	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1210	Fungi	NA	NA	NA	NA	NA	NA
OTU1211	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU1213	Fungi	NA	NA	NA	NA	NA	NA
OTU1214	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU1216	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	Piskurozyma capsuligena
OTU1217	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
OTU1218	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1219	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU1220	Fungi	Basidiomycota	Agaricomycetes	Corticiales	NA	NA	NA
OTU1221	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
OTU1222	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1223	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1224	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	NA	NA	NA
OTU1225	Fungi	NA	NA	NA	NA	NA	NA
OTU1226	Fungi	NA	NA	NA	NA	NA	NA
OTU1227	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1228	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium sublectaticum
OTU1229	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1230	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	NA
OTU1231	Fungi	NA	NA	NA	NA	NA	NA
OTU1232	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella sublilacina
OTU1233	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
OTU1234	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU1235	Fungi	NA	NA	NA	NA	NA	NA
OTU1236	Fungi	NA	NA	NA	NA	NA	NA
OTU1237	Fungi	Mortierellomycota	Mortierellomycetes	NA	NA	NA	NA
OTU1238	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	Lecidea laboriosa
OTU1239	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1240	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora avenae
OTU1241	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Craterellus	Craterellus tubaeformis
OTU1242	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU1243	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
OTU1244	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
OTU1245	Fungi	NA	NA	NA	NA	NA	NA
OTU1246	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
OTU1248	Fungi	NA	NA	NA	NA	NA	NA
OTU1249	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Rhodonia	Rhodonia placenta
OTU1250	Fungi	NA	NA	NA	NA	NA	NA
OTU1251	Fungi	NA	NA	NA	NA	NA	NA
OTU1253	Fungi	NA	NA	NA	NA	NA	NA
OTU1255	Fungi	NA	NA	NA	NA	NA	NA
OTU1256	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1257	Fungi	NA	NA	NA	NA	NA	NA
OTU1258	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
OTU1259	Fungi	NA	NA	NA	NA	NA	NA
OTU1260	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phlebia	Phlebia livida
OTU1261	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	NA
OTU1262	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Heterocephalacria	Heterocephalacria arrabidensis
OTU1263	Fungi	NA	NA	NA	NA	NA	NA
OTU1264	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium oxalicum
OTU1265	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU1266	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	NA
OTU1267	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	Ogataea glucozyma
OTU1268	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia carpophila
OTU1269	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Kabatiella	Kabatiella harpospora
OTU1270	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1271	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	Arthrobotrys foliicola
OTU1272	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ascosphaeraceae	Ascosphaera	NA
OTU1273	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU1274	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1275	Fungi	NA	NA	NA	NA	NA	NA
OTU1276	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
OTU1277	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	NA	NA
OTU1279	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1280	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium quercetorum
OTU1281	Rhizaria	NA	NA	NA	NA	NA	NA
OTU1282	Fungi	NA	NA	NA	NA	NA	NA
OTU1284	Fungi	NA	NA	NA	NA	NA	NA
OTU1286	Fungi	NA	NA	NA	NA	NA	NA
OTU1287	Fungi	NA	NA	NA	NA	NA	NA
OTU1288	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria hungarica
OTU1289	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
OTU1290	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1291	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1292	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1293	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA
OTU1294	Fungi	NA	NA	NA	NA	NA	NA
OTU1295	Fungi	NA	NA	NA	NA	NA	NA
OTU1296	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	NA
OTU1297	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
OTU1298	Fungi	NA	NA	NA	NA	NA	NA
OTU1299	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU1300	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia mellicola
OTU1301	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
OTU1302	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	NA
OTU1304	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces	Paecilomyces formosa
OTU1305	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU1306	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1307	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia onofrii
OTU1308	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1309	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium roseopurpureum
OTU1310	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis besseyi
OTU1311	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces minioluteus
OTU1312	Fungi	NA	NA	NA	NA	NA	NA
OTU1313	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
OTU1314	Fungi	NA	NA	NA	NA	NA	NA
OTU1315	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1316	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1317	Fungi	NA	NA	NA	NA	NA	NA
OTU1318	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1319	Fungi	NA	NA	NA	NA	NA	NA
OTU1320	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1321	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1322	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU1323	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1325	Fungi	NA	NA	NA	NA	NA	NA
OTU1326	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1327	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1328	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1329	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1330	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA
OTU1332	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Lecanosticta	NA
OTU1333	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	NA	Sistotremastrum	NA
OTU1334	Fungi	NA	NA	NA	NA	NA	NA
OTU1335	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Obba	Obba rivulosa
OTU1336	Fungi	NA	NA	NA	NA	NA	NA
OTU1337	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1338	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1339	Fungi	NA	NA	NA	NA	NA	NA
OTU1340	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Gymnoascus	Gymnoascus reessii
OTU1341	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Palicella	Palicella schizochromatica
OTU1342	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	NA
OTU1343	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU1344	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	Montagnula donacina
OTU1345	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Melanohalea	NA
OTU1346	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma fimeti
OTU1347	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1348	Fungi	NA	NA	NA	NA	NA	NA
OTU1349	Fungi	NA	NA	NA	NA	NA	NA
OTU1350	Fungi	NA	NA	NA	NA	NA	NA
OTU1351	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Acremonium	NA
OTU1352	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1353	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	Tremella moriformis
OTU1354	Fungi	NA	NA	NA	NA	NA	NA
OTU1355	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU1356	Fungi	NA	NA	NA	NA	NA	NA
OTU1357	Fungi	NA	NA	NA	NA	NA	NA
OTU1358	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1359	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phlebia	Phlebia tremellosa
OTU1360	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium bostrychodes
OTU1361	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
OTU1362	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
OTU1363	Fungi	NA	NA	NA	NA	NA	NA
OTU1364	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Angustimassarina	NA
OTU1365	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU1366	Fungi	NA	NA	NA	NA	NA	NA
OTU1367	Fungi	NA	NA	NA	NA	NA	NA
OTU1368	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1369	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1370	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1371	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
OTU1372	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces hampshirensis
OTU1373	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	NA	NA
OTU1374	Fungi	NA	NA	NA	NA	NA	NA
OTU1375	Fungi	NA	NA	NA	NA	NA	NA
OTU1376	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1377	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	NA	NA
OTU1378	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1379	Fungi	NA	NA	NA	NA	NA	NA
OTU1380	Fungi	NA	NA	NA	NA	NA	NA
OTU1381	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Arachnopeziza	Arachnopeziza aurelia
OTU1382	Fungi	NA	NA	NA	NA	NA	NA
OTU1383	Fungi	NA	NA	NA	NA	NA	NA
OTU1384	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria obclavata
OTU1385	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius acutus
OTU1386	Fungi	NA	NA	NA	NA	NA	NA
OTU1387	Fungi	NA	NA	NA	NA	NA	NA
OTU1388	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1389	Fungi	NA	NA	NA	NA	NA	NA
OTU1390	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	NA	NA
OTU1391	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1392	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU1393	Fungi	NA	NA	NA	NA	NA	NA
OTU1394	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	NA
OTU1395	Fungi	NA	NA	NA	NA	NA	NA
OTU1396	Fungi	NA	NA	NA	NA	NA	NA
OTU1397	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	Cadophora	NA
OTU1399	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU1400	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1401	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
OTU1402	Fungi	Olpidiomycota	NA	NA	NA	NA	NA
OTU1403	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta ligniaria
OTU1404	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	NA	NA	NA
OTU1405	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	NA
OTU1406	Fungi	NA	NA	NA	NA	NA	NA
OTU1407	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothidea	NA
OTU1408	Fungi	NA	NA	NA	NA	NA	NA
OTU1409	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
OTU1410	Fungi	NA	NA	NA	NA	NA	NA
OTU1411	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU1412	Fungi	NA	NA	NA	NA	NA	NA
OTU1414	Fungi	NA	NA	NA	NA	NA	NA
OTU1415	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ascosphaeraceae	Ascosphaera	NA
OTU1416	Fungi	NA	NA	NA	NA	NA	NA
OTU1417	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Hyphozyma	Hyphozyma variabilis
OTU1418	Rhizaria	NA	NA	NA	NA	NA	NA
OTU1419	Fungi	NA	NA	NA	NA	NA	NA
OTU1420	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Coriolaceae	Trametes	Trametes hirsuta
OTU1421	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1422	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium pullulans
OTU1423	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1424	Fungi	NA	NA	NA	NA	NA	NA
OTU1425	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU1426	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU1427	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	NA	NA
OTU1428	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU1429	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1430	Fungi	Basidiomycota	Cystobasidiomycetes	NA	Symmetrosporaceae	Symmetrospora	NA
OTU1431	Fungi	NA	NA	NA	NA	NA	NA
OTU1432	Fungi	NA	NA	NA	NA	NA	NA
OTU1434	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU1435	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Agrocybe	Agrocybe pediades
OTU1436	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthomendoza	Xanthomendoza galericulata
OTU1437	Fungi	NA	NA	NA	NA	NA	NA
OTU1438	Fungi	NA	NA	NA	NA	NA	NA
OTU1439	Fungi	NA	NA	NA	NA	NA	NA
OTU1440	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	NA	NA
OTU1441	Fungi	NA	NA	NA	NA	NA	NA
OTU1442	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	NA	NA	NA
OTU1443	Fungi	NA	NA	NA	NA	NA	NA
OTU1444	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU1445	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1447	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1448	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Sarocladium	Sarocladium strictum
OTU1449	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	NA
OTU1450	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Sydowia	NA
OTU1451	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NA
OTU1452	Fungi	NA	NA	NA	NA	NA	NA
OTU1453	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	Cytospora austromontana
OTU1454	Fungi	Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Calocera	NA
OTU1455	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
OTU1456	Fungi	NA	NA	NA	NA	NA	NA
OTU1457	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista plumbea
OTU1458	Fungi	NA	NA	NA	NA	NA	NA
OTU1459	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1460	Fungi	NA	NA	NA	NA	NA	NA
OTU1461	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU1462	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys renispora
OTU1463	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	NA	NA	NA
OTU1464	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus biglobosus
OTU1465	Fungi	NA	NA	NA	NA	NA	NA
OTU1466	Fungi	NA	NA	NA	NA	NA	NA
OTU1467	Fungi	NA	NA	NA	NA	NA	NA
OTU1468	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
OTU1469	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1470	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1471	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA
OTU1472	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1473	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1474	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1475	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU1476	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
OTU1477	Fungi	NA	NA	NA	NA	NA	NA
OTU1478	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU1479	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora cinerea
OTU1480	Fungi	NA	NA	NA	NA	NA	NA
OTU1481	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1482	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	Epicoccum pimprinum
OTU1483	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	NA
OTU1484	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phanerochaete	Phanerochaete sordida
OTU1485	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1486	Fungi	NA	NA	NA	NA	NA	NA
OTU1487	Fungi	NA	NA	NA	NA	NA	NA
OTU1488	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU1489	Fungi	NA	NA	NA	NA	NA	NA
OTU1491	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Albifimbria	NA
OTU1492	Fungi	NA	NA	NA	NA	NA	NA
OTU1493	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1494	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
OTU1495	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
OTU1496	Fungi	NA	NA	NA	NA	NA	NA
OTU1497	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Thelomma	Thelomma ocellatum
OTU1498	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU1499	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Xenasmataceae	Phlebiella	NA
OTU1500	Fungi	NA	NA	NA	NA	NA	NA
OTU1501	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Lapidomyces	Lapidomyces hispanicus
OTU1502	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1503	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1504	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1505	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NA	NA
OTU1506	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus pulmonarius
OTU1507	Fungi	NA	NA	NA	NA	NA	NA
OTU1508	Fungi	NA	NA	NA	NA	NA	NA
OTU1509	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1510	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	NA
OTU1511	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Cryptovalsa	Cryptovalsa ampelina
OTU1512	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia macrospinosa
OTU1513	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1514	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1515	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Hydropisphaera	NA
OTU1517	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	NA	NA	NA
OTU1518	Fungi	NA	NA	NA	NA	NA	NA
OTU1519	Fungi	NA	NA	NA	NA	NA	NA
OTU1520	Fungi	NA	NA	NA	NA	NA	NA
OTU1521	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1522	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
OTU1523	Fungi	NA	NA	NA	NA	NA	NA
OTU1524	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1525	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	NA	Sistotremastrum	NA
OTU1526	Fungi	NA	NA	NA	NA	NA	NA
OTU1527	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Oxyporus	Oxyporus subpopulinus
OTU1528	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1529	Fungi	NA	NA	NA	NA	NA	NA
OTU1530	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1531	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	NA	NA
OTU1532	Fungi	NA	NA	NA	NA	NA	NA
OTU1533	Fungi	Ascomycota	Dothideomycetes	Myriangiales	NA	NA	NA
OTU1534	Fungi	NA	NA	NA	NA	NA	NA
OTU1535	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA
OTU1536	Fungi	NA	NA	NA	NA	NA	NA
OTU1537	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1538	Fungi	NA	NA	NA	NA	NA	NA
OTU1539	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Diutina	Diutina rugosa
OTU1540	Fungi	Basidiomycota	Microbotryomycetes	NA	Chrysozymaceae	Trigonosporomyces	NA
OTU1541	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina australis
OTU1542	Fungi	NA	NA	NA	NA	NA	NA
OTU1543	Fungi	NA	NA	NA	NA	NA	NA
OTU1544	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	NA
OTU1545	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1546	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	NA
OTU1547	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1548	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
OTU1549	Fungi	NA	NA	NA	NA	NA	NA
OTU1550	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
OTU1551	Fungi	NA	NA	NA	NA	NA	NA
OTU1552	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1553	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus asperescens
